IE_SORT;IE_NAME;IE_DETAIL_PICTURE;;IP_PROP5;IP_PROP16;IP_PROP11;IP_PROP14;IP_PROP15;CP_WEIGHT;CP_WIDTH;CP_LENGTH;CP_PURCHASING_PRICE;CP_PURCHASING_CURRENCY
500;LOIRE ebano;/images/venus+/loire_ebano.jpg;LOIRE;701;701;Напольная плитка;66734919;1,00;20000;450,00;450,00;16,25;EUR
501;LOIRE nogal;/images/venus+/loire_nogal.jpg;LOIRE;701;701;Напольная плитка;66734918;1,00;20000;450,00;450,00;16,25;EUR
