IE_SORT;IE_NAME;IE_DETAIL_PICTURE;;IP_PROP5;IP_PROP16;IP_PROP11;IP_PROP14;IP_PROP15;CP_WEIGHT;CP_WIDTH;CP_LENGTH;CP_PURCHASING_PRICE;CP_PURCHASING_CURRENCY
500;FOREST 5KA1107 св беж;/images/china/forest_light_beige.jpg;Forest light beige;8007;8007;Облицовочная плитка;33281627;1,62;17284;300,00;450,00;14,00;USD
501;FOREST 5KA1108 беж;/images/china/forest_beige.jpg;Forest beige;8007;8007;Облицовочная плитка;33281792;1,62;17284;300,00;450,00;14,00;USD
502;FOREST PB5KA1107H2 (60*45) беж, 2 плитки;/images/china/forest_comp_600.jpg;Forest comp 600;8007;8007;Декор;33280356;5,00;5000;600,00;450,00;15,00;USD
503;FOREST PB5KA1107Y2 (10*30) беж PEGTM1233-1070;/images/china/forest_cenefa.jpg;Forest Cenefa;8007;8007;Бордюр;33280353;20,00;750;100,00;300,00;2,50;USD
504;FOREST PD5KA1107S London (5*30) беж;/images/china/forest_london.jpg;Forest London;8007;8007;Панно;33280944;40,00;500;50,00;300,00;2,00;USD
505;FOREST PD5KA1107C Cygaro (3*30) беж;/images/china/forest_cygaro.jpg;Forest Cygaro;8007;8007;Панно;33281020;40,00;375;30,00;300,00;1,30;USD
506;FOREST 3YB31108 беж;/images/china/forest_beige_30х30.jpg;Forest beige 30х30;8007;8007;Напольная плитка;33281919;1,53;18300;300,00;300,00;14,00;USD
