IE_SORT;IE_NAME;IE_DETAIL_PICTURE;;IP_PROP5;IP_PROP16;IP_PROP11;IP_PROP14;IP_PROP15;CP_WEIGHT;CP_WIDTH;CP_LENGTH;CP_PURCHASING_PRICE;CP_PURCHASING_CURRENCY
500;AGATE DAIRY светлый;/images/china/agate_dairy.jpg;AGATE DAIRY;8001;8001;Напольная плитка;66357437;1,44;21870;600,00;600,00;17,00;USD
501;AGATE ORPHEUS тёмный;/images/china/agate_orpheus.jpg;AGATE ORPHEUS;8001;8001;Напольная плитка;62346968;1,44;21870;600,00;600,00;17,00;USD
500;GOLDEN COAST серо-беж;/images/china/golden_coast.jpg;GOLDEN COAST;8002;8002;Напольная плитка;62347829;1,44;21870;600,00;600,00;24,00;USD
500;MANCHURIAN ASH ;/images/china/manchurian_ash_90x15.jpg;MANCHURIAN ASH 90x15;8003;8003;Напольная плитка;;1,08;25920;900,00;150,00;20;USD
501;ANTIQUE OAK ;/images/china/antique_oak_90x15.jpg;ANTIQUE OAK 90x15;8003;8003;Напольная плитка;;1,08;25920;900,00;150,00;20;USD
502;TEAK Poler ;/images/china/teak_poler_90x15.jpg;TEAK poler 90x15;8003;8003;Напольная плитка;;1,08;25920;900,00;150,00;24;USD
503;BJORK white, semipolished (224MAP);/images/china/bjork_white.jpg;Bjork white;8003;8003;Напольная плитка;;1,08;25920;900,00;150,00;900;RUB
504;BJORK natural mix, semipolished (226MAP);/images/china/bjork_natural.jpg;Bjork natural;8003;8003;Напольная плитка;;1,08;25920;900,00;150,00;900;RUB
505;BJORK toasted mix, semipolished (225MAP);/images/china/bjork_toasted.jpg;Bjork toasted;8003;8003;Напольная плитка;;1,08;25920;900,00;150,00;900;RUB
