IE_SORT;IE_NAME;IE_DETAIL_PICTURE;IE_DETAIL_PICTURE;IP_PROP5;IP_PROP16;IP_PROP11;IP_PROP14;IP_PROP15;CP_WEIGHT;CP_WIDTH;CP_LENGTH;CP_PURCHASING_PRICE;CP_PURCHASING_CURRENCY
509;WATERFALL C Inserto (25*75);/images/bathroom/ibero/dec.waterfall___c.jpg;DEC.WATERFALL   C;1154;1154;Декор;70567346;6;3510;250;750;19,25;EUR
510;WATERFALL D Inserto (25*75);/images/bathroom/ibero/dec.waterfall___d.jpg;DEC.WATERFALL   D;1154;1154;Декор;70567347;6;3510;250;750;19,25;EUR
511;OCOA A Inserto (25*75);/images/bathroom/ibero/dec.ocoa_royal_blue_a.jpg;DEC.OCOA ROYAL BLUE A;1154;1154;Декор;70567344;6;3510;250;750;23,15;EUR
512;OCOA B Inserto (25*75);/images/bathroom/ibero/dec.ocoa_royal_blue_b.jpg;DEC.OCOA ROYAL BLUE B;1154;1154;Декор;70567345;6;3510;250;750;23,15;EUR
513;OCOA C Inserto (25*75);/images/bathroom/ibero/dec.ocoa_royal_blue_c.jpg;DEC.OCOA ROYAL BLUE C;1154;1154;Декор;70567346;6;3510;250;750;23,15;EUR
514;OCOA D Inserto (25*75);/images/bathroom/ibero/dec.ocoa_royal_blue_d.jpg;DEC.OCOA ROYAL BLUE D;1154;1154;Декор;70567347;6;3510;250;750;23,15;EUR
515;ETERNAL royal blue Inserto (25*75);/images/bathroom/ibero/dec.eternal_royal_blue.jpg;DEC.ETERNAL ROYAL BLUE;1154;1154;Декор;70567687;8;3510;250;750;6,43;EUR
516;MOON blue;/images/bathroom/ibero/moon_blue.jpg;MOON BLUE;1154;1154;Напольная;69527383;1;19850;316;316;20,52;EUR
501;NEXT bone;/images/bathroom/ibero/next_bone.jpg;Next_Bone;1155;1155;Облицовочная;56747246;1,31;24460;250;750;23,53;EUR
500;NEXT beige;/images/bathroom/ibero/next_beige.jpg;Next_Beige;1155;1155;Облицовочная;56747266;1,31;24460;250;750;23,53;EUR
502;NEXT brown;/images/bathroom/ibero/next_brown.jpg;Next_Brown;1155;1155;Облицовочная;56747280;1,31;24460;250;750;23,53;EUR
503;SPA A Inserto (25*75);/images/bathroom/ibero/decor_spa_a.jpg;Decor Spa A;1155;1155;Декор;56749063;6;3510;250;750;20,59;EUR
504;SPA B Inserto (25*75);/images/bathroom/ibero/decor_spa_b.jpg;Decor Spa B;1155;1155;Декор;56749064;6;3510;250;750;20,59;EUR
505;SPA C Inserto (25*75);/images/bathroom/ibero/decor_spa_c.jpg;Decor Spa C;1155;1155;Декор;56749237;6;3510;250;750;20,59;EUR
506;HUA A Inserto (25*75);/images/bathroom/ibero/a.jpg;A;1155;1155;Декор;56749291;6;3510;250;750;20,28;EUR
507;HUA B Inserto (25*75);/images/bathroom/ibero/b.jpg;B;1155;1155;Декор;56749292;6;3510;250;750;20,28;EUR
508;HUA C Inserto (25*75);/images/bathroom/ibero/c.jpg;C;1155;1155;Декор;56749293;6;3510;250;750;20,28;EUR
509;HUA D Inserto (25*75);/images/bathroom/ibero/d.jpg;D;1155;1155;Декор;56749294;6;3510;250;750;20,28;EUR
510;HUA E Inserto (25*75);/images/bathroom/ibero/e.jpg;E;1155;1155;Декор;56749295;6;3510;250;750;20,28;EUR
511;HUA F Inserto (25*75);/images/bathroom/ibero/f.jpg;F;1155;1155;Декор;56749304;6;3510;250;750;20,28;EUR
512;HUA G Inserto (25*75);/images/bathroom/ibero/g.jpg;G;1155;1155;Декор;56749313;6;3510;250;750;20,28;EUR
513;HUA H Inserto (25*75);/images/bathroom/ibero/h.jpg;H;1155;1155;Декор;56749330;6;3510;250;750;20,28;EUR
514;MOON cream;/images/bathroom/ibero/moon_cream.jpg;Moon Cream;1155;1155;Напольная;57866596;1;19850;316;316;19,76;EUR
515;MOON brown;/images/bathroom/ibero/moon_brown.jpg;Moon Brown;1155;1155;Напольная;56747818;1;19850;316;316;19,76;EUR
500;NEXT bone;/images/bathroom/ibero/next_bone.jpg;Next_Bone;1156;1156;Облицовочная;56747246;1,31;24460;250;750;23,53;EUR
501;NEXT violet;/images/bathroom/ibero/next_violet.jpg;Next_Violet;1156;1156;Облицовочная;56747273;1,31;24460;250;750;23,53;EUR
502;VEGA violet A Inserto (25*75);/images/bathroom/ibero/decor_vega_violet_a.jpg;Decor Vega Violet A;1156;1156;Декор;56749289;6;4500;250;750;19,25;EUR
503;VEGA violet B Inserto (25*75);/images/bathroom/ibero/decor_vega_violet_b.jpg;Decor Vega Violet B;1156;1156;Декор;56749290;6;4500;250;750;19,25;EUR
504;VEGA violet C Inserto (25*75);/images/bathroom/ibero/decor_vega_violet_c.jpg;Decor Vega Violet C;1156;1156;Декор;56749288;6;4500;250;750;19,25;EUR
505;MOON violet;/images/bathroom/ibero/moon_violet.jpg;Moon Violet;1156;1156;Напольная;56748403;1;19850;316;316;19,76;EUR
500;WAVES bone;/images/bathroom/ibero/waves_bone.jpg;Waves_BONE;1157;1157;Облицовочная;44579904;1,5;19666;250;750;24;EUR
501;WAVES rosa;/images/bathroom/ibero/waves_rosa.jpg;WAVES ROSA;1157;1157;Облицовочная;44579906;1,5;19666;250;750;24;EUR
502;WAVES grana;/images/bathroom/ibero/waves_grana.jpg;Waves_Grana;1157;1157;Облицовочная;44579905;1,5;19666;250;750;26,25;EUR
503;ROSELLA A Inserto (25*75)  к панно;/images/bathroom/ibero/decor_rosella_a.jpg;Decor Rosella A;1157;1157;Декор;72047759;6;3510;250;750;22,28;EUR
504;ROSELLA B Inserto (25*75) к панно;/images/bathroom/ibero/decor_rosella_b.jpg;Decor Rosella B;1157;1157;Декор;72047761;6;3510;250;750;22,28;EUR
505;ROSELLA C Inserto (25*75) к панно;/images/bathroom/ibero/decor_rosella_c.jpg;Decor Rosella C;1157;1157;Декор;72047763;6;3510;250;750;22,28;EUR
506;ROSELLA Listelo (6*75);/images/bathroom/ibero/cenefa_rosella.jpg;Cenefa Rosella;1157;1157;Бордюр;44580778;10;1140;60;750;10,23;EUR
507;WAVES bone Mosaico (31,6*31,6);/images/bathroom/ibero/waves_bone_mosaico.jpg;Waves_Bone mosaico;1157;1157;Мозаика;44580952;8;1675;316;316;7,91;EUR
508;WAVES grana Mosaico (31,6*31,6);/images/bathroom/ibero/waves_grana_mosaico.jpg;Waves_Grana mosaico;1157;1157;Мозаика;44581028;10;1675;316;316;7,91;EUR
509;MOON grana;/images/bathroom/ibero/moon_grana_31x31.jpg;moon_grana_31x31;1157;1157;Напольная;44580672;1;19850;316;316;19,76;EUR
500;MAISON beige;/images/bathroom/ibero/maison_beige_20x50.jpg;maison_beige_20x50;1152;1152;Облицовочная;72029408;1,2;15840;200;500;16,77;EUR
501;MAISON vison;/images/bathroom/ibero/maison_vison_20x50.jpg;maison_vison_20x50;1152;1152;Облицовочная;72029441;1,2;15840;200;500;16,77;EUR
502;MAISON vison;/images/bathroom/ibero/maison_vison__48x48.jpg;MAISON VISON  48x48;1152;1152;Напольная;72047820;1,38;19850;316;316;24,6;EUR
503;ANTIBES A Inserto (20*50);/images/bathroom/ibero/maison_decor_antibes_a_20x50.jpg;maison_decor_antibes_a_20x50;1152;1152;Декор;72029491;8;1585;200;500;10,9;EUR
504;ANTIBES B Inserto (20*50);/images/bathroom/ibero/maison_decor_antibes_b_20x50.jpg;maison_decor_antibes_b_20x50;1152;1152;Декор;72029493;8;1585;200;500;10,9;EUR
505;SAMOA beige Inserto (20*50);/images/bathroom/ibero/maison_decor_samoa_beige_20x50.jpg;maison_decor_samoa_beige_20x50;1152;1152;Декор;72031998;12;1585;200;500;2,18;EUR
506;SOLID A beige Inserto (20*50);/images/bathroom/ibero/maison_decor_solid_beige_a_20x50.jpg;maison_decor_solid_beige_a_20x50;1152;1152;Декор;72029546;8;1585;200;500;13,38;EUR
507;SOLID B beige Inserto (20*50);/images/bathroom/ibero/maison_decor_solid_beige_b_20x50.jpg;maison_decor_solid_beige_b_20x50;1152;1152;Декор;72029547;8;1585;200;500;13,38;EUR
508;STANDFOR A beige Inserto (20*50);/images/bathroom/ibero/maison_decor_standfor_beige_a_20x50.jpg;maison_decor_standfor_beige_a_20x50;1152;1152;Декор;72045457;8;1585;200;500;10,22;EUR
509;STANDFOR B beige Inserto (20*50);/images/bathroom/ibero/maison_decor_standfor_beige_b_20x50.jpg;maison_decor_standfor_beige_b_20x50;1152;1152;Декор;72045458;8;1585;200;500;10,22;EUR
