IE_XML_ID;IE_NAME;IP_PROP9;IP_PROP10;IP_PROP12;IC_GROUP0;IE_SORT;IP_PROP13;IP_PROP17
4050;SEMIR beige;104;11;49;Клинкер, ступени;500;;1.2
4051;SEMIR brown;104;11;49;Клинкер, ступени;501;;1.2
4052;AQUARIUS beige;104;11;49;Клинкер, ступени;502;;1.2
4053;AQUARIUS brown;104;11;49;Клинкер, ступени;503;;1.2
4054;CLOUD brown;104;11;49;Клинкер, ступени;504;;1.2
4055;CLOUD rosa;104;11;49;Клинкер, ступени;505;;1.2
4056;NATURAL brown;104;11;49;Клинкер, ступени;506;;1.2
4057;TAURUS brown;104;11;49;Клинкер, ступени;507;;1.2
