IE_SORT;IE_NAME;IE_DETAIL_PICTURE;;IP_PROP5;IP_PROP16;IP_PROP11;IP_PROP14;IP_PROP15;CP_WEIGHT;CP_WIDTH;CP_LENGTH;CP_PURCHASING_PRICE;CP_PURCHASING_CURRENCY
500;ACIARA  (porcelain);/images/china/aciara.jpg;ACIARA;8005;8005;Напольная плитка;33353656;0,99;19386;300,00;300,00;15,00;USD
500;SANTA FE  (porcelain);/images/china/santa_fe.jpg;SANTA FE;8006;8006;Напольная плитка;33353511;1,44;21875;600,00;600,00;17,00;USD
