IE_SORT;IE_NAME;IE_DETAIL_PICTURE;;IP_PROP5;IP_PROP16;IP_PROP11;IP_PROP14;IP_PROP15;CP_WEIGHT;CP_WIDTH;CP_LENGTH;CP_PURCHASING_PRICE;CP_PURCHASING_CURRENCY
505;SEMIR beige PODS;/images/paradyz/semir_beige_30x14,8x1,1_podstopnicowa.jpg;Semir Beige 30x14,8x1,1 podstopnicowa;4050;4050;Подступёнок;8342856;20,00;1120;148,00;300,00;0,61;EUR
506;SEMIR beige ELE;/images/paradyz/semir_beige_24,5x6,58x0,74_elewacja.jpg;Semir Beige 24,5x6,58x0,74 elewacja;4050;4050;Клинкер фасад;12253848;0,71;16575;65,00;245,00;9,70;EUR
500;SEMIR brown ST NAR kapinos (33*33);/images/paradyz/semir_brown_33x33x1,1_narozna_kapinos.jpg;Semir Brown 33x33x1,1 narozna kapinos;4051;4051;Ступень;48857433;2,00;3780;330,00;330,00;15,00;EUR
501;SEMIR brown ST PRO kapinos (30*33);/images/paradyz/semir_brown_30x33x1,1_prosta_kapinos.jpg;Semir Brown 30x33x1,1 prosta kapinos;4051;4051;Ступень;48571195;6,00;3050;300,00;330,00;11,50;EUR
502;SEMIR brown KLINK пол;/images/paradyz/semir_brown_30x30x1,1_bazowa.jpg;Semir Brown 30x30x1,1 bazowa;4051;4051;Клинкер пол;42169191;0,99;24940;300,00;300,00;13,50;EUR
503;SEMIR brown ST NAR (30*30);/images/paradyz/semir_brown_30x30x1,1_narozna_ryfel.jpg;Semir Brown 30x30x1,1 narozna ryfel;4051;4051;Ступень;47484741;10,00;2240;300,00;300,00;1,55;EUR
504;SEMIR brown ST PRO (30*30);/images/paradyz/semir_brown_30x30x1,1_prosta_ryfel.jpg;Semir Brown 30x30x1,1 prosta ryfel;4051;4051;Ступень;27338361;10,00;2277;300,00;300,00;1,37;EUR
505;SEMIR brown PODS;/images/paradyz/semir_brown_30x14,8x1,1_podstopnicowa.jpg;Semir Brown 30x14,8x1,1 podstopnicowa;4051;4051;Подступёнок;27338226;20,00;1120;148,00;300,00;0,61;EUR
506;SEMIR brown ELE;/images/paradyz/semir_brown_24,5x6,58x0,74_elewacja.jpg;Semir Brown 24,5x6,58x0,74 elewacja;4051;4051;Клинкер фасад;27338203;0,71;16575;65,00;245,00;9,70;EUR
500;TAURUS brown ST NAR kapinos (33*33);/images/paradyz/taurus_brown_stopnica_narozna_kapinos.jpg;taurus brown_stopnica_narozna_kapinos;4057;4057;Ступень;30490880;2,00;3780;330,00;330,00;15,00;EUR
501;TAURUS brown ST PRO kapinos (30*33);/images/paradyz/taurus_brown_stop_prosta_kapinos.jpg;taurus brown_stop prosta kapinos;4057;4057;Ступень;30490839;6,00;3050;300,00;330,00;11,50;EUR
502;TAURUS brown KLINK пол;/images/paradyz/taurus_brown_bazowa.jpg;taurus brown_bazowa;4057;4057;Клинкер пол;27337680;0,99;24940;300,00;300,00;14,50;EUR
503;TAURUS brown STNAR (30*30);/images/paradyz/taurus_brown_stopnica_narozna.jpg;taurus brown_stopnica narozna;4057;4057;Ступень;30490867;10,00;2240;300,00;300,00;1,70;EUR
504;TAURUS brown ST PRO (30*30);/images/paradyz/taurus_brown_stopnica_prosta.jpg;taurus brown stopnica_prosta;4057;4057;Ступень;30490829;10,00;2277;300,00;300,00;1,50;EUR
505;TAURUS brown PODS;/images/paradyz/taurus_brown_podstopnica.jpg;taurus brown_podstopnica;4057;4057;Подступёнок;30490827;20,00;1120;148,00;300,00;0,65;EUR
506;TAURUS brown ELE;/images/paradyz/taurus_brown_elewacja.jpg;taurus brown_elewacja;4057;4057;Клинкер фасад;27337491;0,71;16575;65,00;245,00;8,80;EUR
