IE_SORT;IE_NAME;IE_DETAIL_PICTURE;;IP_PROP5;IP_PROP16;IP_PROP11;IP_PROP14;IP_PROP15;CP_WEIGHT;CP_WIDTH;CP_LENGTH;CP_PURCHASING_PRICE;CP_PURCHASING_CURRENCY
500;DRAGON beige (porcelain);/images/china/dragon_beige.jpg;Dragon beige;8004;8004;Напольная плитка;27810515;1,44;24093;600,00;600,00;18,00;USD
501;DRAGON marron красно-беж (porcelain);/images/china/dragon_marron.jpg;Dragon marron;8004;8004;Напольная плитка;27810493;1,44;24093;600,00;600,00;32,30;USD
502;DRAGON verde зеленый (porcelain);/images/china/dragon_verde.jpg;Dragon verde;8004;8004;Напольная плитка;27810459;1,44;24093;600,00;600,00;32,30;USD
503;DRAGON marron красный (10*60);/images/china/dragon_marron_list.jpg;Dragon marron list;8004;8004;Бордюр;27810519;12,00;1313;100,00;600,00;6,70;USD
504;DRAGON verde зелёный (10*60);/images/china/dragon_verde_list.jpg;Dragon verde list;8004;8004;Бордюр;27811117;12,00;1313;100,00;600,00;6,70;USD
505;DRAGON Taco (10*10);/images/china/dragon_taco_2.jpg;Dragon Taco 2;8004;8004;Бордюр;27810917;75,00;219;100,00;100,00;2,88;USD
