IE_SORT;IE_NAME;IE_DETAIL_PICTURE;;IP_PROP5;IP_PROP16;IP_PROP11;IP_PROP14;IP_PROP15;CP_WEIGHT;CP_WIDTH;CP_LENGTH;CP_PURCHASING_PRICE;CP_PURCHASING_CURRENCY
500;MARBLE beige estrella;/images/hispania/marble_beige_45x45.jpg;MARBLE BEIGE 45X45;8200;8200;Напольная плитка;62170209;1,62;19366;450,00;450,00;17,07;EUR
501;MARBLE marron estrella;/images/hispania/marble_marron_45x45.jpg;MARBLE MARRON 45X45;8200;8200;Напольная плитка;62170212;1,62;19366;450,00;450,00;17,07;EUR
502;ESTRELLA 01 beige (6,7*6,7) керамика;/images/hispania/marble_set_01_beige.jpg;MARBLE SET 01 BEIGE;8200;8200;Декор;51632706;100,00;45;67,00;67,00;1,45;EUR
503;ESTRELLA E1 satined brass (6,7*6,7), латунь;/images/hispania/estrella_bras.jpg;Estrella bras;8200;8200;Декор;51632617;100,00;63;67,00;67,00;3,95;EUR
