IE_SORT;IE_NAME;IE_DETAIL_PICTURE;IE_DETAIL_PICTURE;IP_PROP5;IP_PROP16;IP_PROP11;IP_PROP14;IP_PROP15;CP_WEIGHT;CP_WIDTH;CP_LENGTH;CP_PURCHASING_PRICE;CP_PURCHASING_CURRENCY
500;MEDEA arena светлая;/images/hispania/medea_arena.jpg;medea arena;8000;8000;Облицовочная плитка;1097443;1,00;16026;250,00;400,00;14,25;EUR
501;MEDEA noce тёмная;/images/hispania/medea_noce.jpg;medea_noce;8000;8000;Облицовочная плитка;1097445;1,00;16026;250,00;400,00;14,25;EUR
502;LEON Panno (40*50);/images/hispania/leon_comp.jpg;Leon comp;8000;8000;Декор;1110626;1,00;6000;400,00;500,00;60,38;EUR
503;LEON Cenefa (5*25);/images/hispania/leon_cenefa.jpg;Leon cenefa;8000;8000;Бордюр;1111256;30,00;200;50,00;250,00;4,89;EUR
504;LEON Taco (5*5) латунь;/images/hispania/leon.jpg;Leon;8000;8000;Декор;1110629;100,00;85;50,00;50,00;130,00;RUB
505;IMPERIAL noce (porcelanico);/images/hispania/medea_imperial_arena.jpg;medea imperial arena;8000;8000;Напольная плитка;1097423;1,00;20875;450,00;450,00;19,40;EUR
