IE_SORT;IE_NAME;IE_DETAIL_PICTURE;IE_DETAIL_PICTURE;IP_PROP5;IP_PROP16;IP_PROP11;IP_PROP14;IP_PROP15;CP_WEIGHT;CP_WIDTH;CP_LENGTH;CP_PURCHASING_PRICE;CP_PURCHASING_CURRENCY
502;COFFEE BEANS 1 (10*20);/images/kitchen/absolut/decor_coffee_beans_01_10x20.jpg;DECOR COFFEE BEANS 01 10X20;1107;1107;Декор;58303589;28;275;100;200;4,08;EUR
503;COFFEE BEANS 2 (10*20);/images/kitchen/absolut/decor_coffee_beans_02_10x20.jpg;DECOR COFFEE BEANS 02 10X20;1107;1107;Декор;58304908;28;275;100;200;4,08;EUR
504;COFFEE BEANS 3 (10*20);/images/kitchen/absolut/decor_coffee_beans_03_10x20.jpg;DECOR COFFEE BEANS 03 10X20;1107;1107;Декор;58304909;28;275;100;200;4,08;EUR
505;COFFEE BEANS 1 Composicion (30*20), 3 плитки;/images/kitchen/absolut/composicion_coffee_beans_01_30x20.jpg;COMPOSICION COFFEE BEANS 01 30X20;1107;1107;Декор;58304015;9;825;300;200;12,8;EUR
506;COFFEE BEANS 2 Composicion (20*40), 4 плитки;/images/kitchen/absolut/composicion_coffee_beans_02_20x40.jpg;COMPOSICION COFFEE BEANS 02 20X40;1107;1107;Декор;68471702;7;825;200;400;20;EUR
500;MONOCOLOR blanco (10*20);/images/kitchen/absolut/blanco_10x20.jpg;BLANCO 10x20;1104;1104;Облицовочная;58302792;1;13885;100;200;15,52;EUR
501;MONOCOLOR naranja (10*20);/images/kitchen/absolut/naranja_10x20.jpg;NARANJA 10x20;1104;1104;Облицовочная;58303021;1;13885;100;200;17;EUR
502;MONOCOLOR pistacho (10*20);/images/kitchen/absolut/pistacho_10x20.jpg;PISTACHO 10x20;1104;1104;Облицовочная;58302802;1;13885;100;200;17;EUR
503;FRESH Composicion (30*20), 3 плитки;/images/kitchen/absolut/composicion_fresh_30x20.jpg;COMPOSICION FRESH 30X20;1104;1104;Декор;58304109;9;825;300;200;11,89;EUR
504;FRESH APPLE (10*20);/images/kitchen/absolut/decor_fresh_apple_10x20.jpg;DECOR FRESH APPLE 10X20;1104;1104;Декор;58305565;28;275;100;200;3,4;EUR
505;FRESH LEMON (10*20);/images/kitchen/absolut/decor_fresh_lemon_10x20.jpg;DECOR FRESH LEMON 10X20;1104;1104;Декор;58305564;28;275;100;200;3,4;EUR
506;FRESH NECTARINE (10*20);/images/kitchen/absolut/decor_fresh_nectarine_10x20.jpg;DECOR FRESH NECTARINE 10X20;1104;1104;Декор;58305553;28;275;100;200;3,4;EUR
507;FRESH ORANGE (10*20);/images/kitchen/absolut/decor_fresh_orange_10x20.jpg;DECOR FRESH ORANGE 10X20;1104;1104;Декор;58305554;28;275;100;200;3,4;EUR
508;FRESH STRAWBERRY (10*20);/images/kitchen/absolut/decor_fresh_strawberry_10x20.jpg;DECOR FRESH STRAWBERRY 10X20;1104;1104;Декор;58305519;28;275;100;200;3,4;EUR
500;MONOCOLOR blanco (10*20);/images/kitchen/absolut/blanco_10x20.jpg;BLANCO 10x20;1105;1105;Облицовочная;58302792;1;13885;100;200;15,52;EUR
501;MONOCOLOR naranja (10*20);/images/kitchen/absolut/naranja_10x20.jpg;NARANJA 10x20;1105;1105;Облицовочная;58303021;1;13885;100;200;17;EUR
502;MONOCOLOR pistacho (10*20);/images/kitchen/absolut/pistacho_10x20.jpg;PISTACHO 10x20;1105;1105;Облицовочная;58302802;1;13885;100;200;17;EUR
503;FRUIT MOSAIC Composicion (30*20), 3 плитки;/images/kitchen/absolut/composicion_fruit_mosaic_30x20.jpg;COMPOSICION FRUIT MOSAIC 30X20;1105;1105;Декор;68471392;9;825;300;200;14,62;EUR
504;FRUIT MOSAIC 1 (10*20);/images/kitchen/absolut/decor_fruit_mosaic_01_10x20.jpg;DECOR FRUIT MOSAIC 01 10X20;1105;1105;Декор;68471080;28;275;100;200;4,55;EUR
505;FRUIT MOSAIC 2 (10*20);/images/kitchen/absolut/decor_fruit_mosaic_02_10x20.jpg;DECOR FRUIT MOSAIC 02 10X20;1105;1105;Декор;68471082;28;275;100;200;4,55;EUR
500;MONOCOLOR blanco (10*20);/images/kitchen/absolut/blanco_10x20.jpg;BLANCO 10x20;1109;1109;Облицовочная;58302792;1;13885;100;200;15,52;EUR
501;MONOCOLOR burdeos (10*20);/images/kitchen/absolut/burdeos_10x20.jpg;BURDEOS 10x20;1109;1109;Облицовочная;58302788;1;13885;100;200;17;EUR
502;HONEY Composicion (30*20), 3 плитки;/images/kitchen/absolut/composicion_honey_30x20.jpg;COMPOSICION HONEY 30X20;1109;1109;Декор;68471297;12;825;300;200;11,89;EUR
503;HONEY 1 (10*20);/images/kitchen/absolut/decor_honey_01_10x20.jpg;DECOR HONEY 01 10X20;1109;1109;Декор;68471075;50;275;100;200;3,4;EUR
504;HONEY 2 (10*20);/images/kitchen/absolut/decor_honey_02_10x20.jpg;DECOR HONEY 02 10X20;1109;1109;Декор;68471076;50;275;100;200;3,4;EUR
505;HONEY 3 (10*20);/images/kitchen/absolut/decor_honey_03_10x30.jpg;DECOR HONEY 03 10X30;1109;1109;Декор;68471077;50;275;100;200;3,4;EUR
500;MONOCOLOR cava (10*20);/images/kitchen/absolut/cava_10x20.jpg;CAVA 10x20;1108;1108;Облицовочная;58303022;1;13885;100;200;15,85;EUR
501;MONOCOLOR salmon (10*20);/images/kitchen/absolut/salmon_10x20.jpg;SALMON 10x20;1108;1108;Облицовочная;58302780;1;13885;100;200;15,85;EUR
502;MONOCOLOR burdeos (10*20);/images/kitchen/absolut/burdeos_10x20.jpg;BURDEOS 10x20;1108;1108;Облицовочная;58302788;1;13885;100;200;17;EUR
503;TEA 1A (10*20);/images/kitchen/absolut/decor_tea_01_a_10x20.jpg;DECOR TEA 01 A 10X20;1108;1108;Декор;58305361;48;275;100;200;3,4;EUR
504;TEA 1B (10*20);/images/kitchen/absolut/decor_tea_01_b_10x20.jpg;DECOR TEA 01 B 10X20;1108;1108;Декор;58305405;48;275;100;200;3,4;EUR
505;TEA 1C (10*20);/images/kitchen/absolut/decor_tea_01_c_10x20.jpg;DECOR TEA 01 C 10X20;1108;1108;Декор;58305406;48;275;100;200;3,4;EUR
506;TEA 1 Composicion (20*20), 2 плитки;/images/kitchen/absolut/composicion_tea_01_20x20.jpg;COMPOSICION TEA 01 20X20;1108;1108;Декор;58303433;24;550;200;200;7,73;EUR
